nct_id,titulo,estado,fase,todas_fases,tipo,sponsor,condicion,todas_condiciones,fecha_inicio,año_inicio
NCT04660643,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight for the Maintenance of Weight Loss,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Obesity,Obesity; Overweight,2021-03-29,2021.0
NCT06976216,A Study to Evaluate the Efficacy and Safety of KarXT + KarX-EC for Cognitive Impairment in Alzheimer's Disease,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Alzheimer's Disease,Alzheimer's Disease,2025-07-14,2025.0
NCT05552326,A Study of Olezarsen Administered Subcutaneously to Participants With Severe Hypertriglyceridemia,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Ionis Pharmaceuticals, Inc.",Severe Hypertriglyceridemia,Severe Hypertriglyceridemia,2022-08-31,2022.0
NCT00475852,A Study Testing the Effectiveness of Nesiritide in Patients With Acute Decompensated Heart Failure,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Scios, Inc.",Heart Decompensation,Heart Decompensation,2007-05,2007.0
NCT02312349,Assessment of Gluten-Free Availability in Elaborated Food Stores in Three Neighbourhoods of Buenos Aires City,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital Italiano de Buenos Aires,Celiac Disease,Celiac Disease,2011-09,2011.0
NCT00781391,Global Study to Assess the Safety and Effectiveness of Edoxaban (DU-176b) vs Standard Practice of Dosing With Warfarin in Patients With Atrial Fibrillation,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Daiichi Sankyo,Stroke,Stroke; Atrial Fibrillation; Embolism,2008-11,2008.0
NCT02566993,Clinical Trial of Lurbinectedin (PM01183)/Doxorubicin Versus CAV or Topotecan as Treatment in Patients With Small-Cell Lung Cancer,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,PharmaMar,Small-cell Lung Cancer,Small-cell Lung Cancer,2016-08-30,2016.0
NCT00359021,An Open-label Trial With TMC125 in Patients Who Have Virologically Failed in a DUET Trial (TMC125-C206 or TMC125-C216).,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Tibotec Pharmaceuticals, Ireland",HIV-1,HIV-1,2006-06,2006.0
NCT01710358,A Study in Moderate to Severe Rheumatoid Arthritis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Rheumatoid Arthritis,Rheumatoid Arthritis,2012-10,2012.0
NCT02271178,Multi-cap for Increase Adherence After Acute Myocardial Infarction,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Hospital El Cruce,Myocardial Infarction,Myocardial Infarction,2014-04,2014.0
